PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3091,Freestyle Snowboard - 155cm,Ski,87,87,535.18,46560.66,Received,2026-03-07,2026-03-07,Supplier SKU: WOR-3091,system,2026-02-09 13:48:17
2,1,PO-2026-0001,1561,EcoFire Camping Stove,Camping,4,4,87.99,351.96,Received,2026-03-07,2026-03-07,Supplier SKU: WOR-1561,system,2026-02-09 13:48:17
3,1,PO-2026-0001,1531,Summit Breeze Jacket,Camping,137,137,101.59,13917.83,Received,2026-03-07,2026-03-07,Supplier SKU: WOR-1531,system,2026-02-09 13:48:17
4,1,PO-2026-0001,1541,TrekReady Hiking Boots,Camping,2,2,151.12,302.24,Received,2026-03-07,2026-03-07,Supplier SKU: WOR-1541,system,2026-02-09 13:48:17
5,1,PO-2026-0001,2051,Ice Cream Bowl,Kitchen,5,5,19.43,97.15,Received,2026-03-07,2026-03-07,Supplier SKU: WOR-2051,system,2026-02-09 13:48:17
6,2,PO-2026-0002,1531,Summit Breeze Jacket,Camping,202,202,101.59,20521.18,Received,2026-02-19,2026-02-20,Supplier SKU: WOR-1531,system,2026-01-21 13:48:17
7,2,PO-2026-0002,1561,EcoFire Camping Stove,Camping,5,5,87.99,439.95,Received,2026-02-19,2026-02-20,Supplier SKU: WOR-1561,system,2026-01-21 13:48:17
8,2,PO-2026-0002,3021,Nordic Classic XC Skis - 185cm,Ski,94,94,283.75,26672.5,Received,2026-02-19,2026-02-20,Supplier SKU: WOR-3021,system,2026-01-21 13:48:17
9,2,PO-2026-0002,2051,Ice Cream Bowl,Kitchen,5,5,19.43,97.15,Received,2026-02-19,2026-02-20,Supplier SKU: WOR-2051,system,2026-01-21 13:48:17
10,2,PO-2026-0002,3082,Edge Tuning Tool Set,Ski,86,86,93.15,8010.9,Received,2026-02-19,2026-02-20,Supplier SKU: WOR-3082,system,2026-01-21 13:48:17
