TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3082,Edge Tuning Tool Set,Ski,Main,Transfer,2024-03-03 00:00:00,-40,85.88,-3435.2,TRF-4486,Warehouse Transfer,65,25,system,Transaction processed for Main location,system,2024-03-03 00:00:00
2,1532,TrailBlaze Hiking Pants,Camping,Main,Transfer,2024-03-03 00:00:00,-31,60.4,-1872.4,TRF-5112,Warehouse Transfer,529,498,warehouse1,Transaction processed for Main location,system,2024-03-03 00:00:00
3,3081,All-Temp Ski Wax Kit,Ski,Backup,Transfer,2024-03-01 00:00:00,-48,50.85,-2440.8,TRF-9840,Warehouse Transfer,238,190,warehouse2,Transaction processed for Backup location,system,2024-03-01 00:00:00
4,1512,SkyView 2-Person Tent,Camping,Backup,Adjustment,2024-03-03 00:00:00,18,218.84,3939.12,ADJ-4,System Correction,47,65,warehouse1,Transaction processed for Backup location,system,2024-03-03 00:00:00
5,1541,TrekReady Hiking Boots,Camping,Main,Sale,2024-03-06 00:00:00,-13,136.1,-1769.3,SO-38904,Customer Sale,665,652,system,Transaction processed for Main location,system,2024-03-06 00:00:00
6,3102,Winter Hiking Boots - Waterproof,Ski,Main,Sale,2024-03-03 00:00:00,-36,192.05,-6913.8,SO-39472,Customer Sale,23,-13,warehouse1,Transaction processed for Main location,system,2024-03-03 00:00:00
7,2012,Espresso Machine,Kitchen,Backup,Receipt,2024-03-07 00:00:00,30,302.11,9063.44,PO-3604,Purchase Order Receipt,1082,1112,system,Transaction processed for Backup location,system,2024-03-07 00:00:00
8,1533,RainGuard Hiking Jacket,Camping,Main,Receipt,2024-03-05 00:00:00,10,112.41,1124.09,PO-2105,Purchase Order Receipt,520,530,warehouse1,Transaction processed for Main location,system,2024-03-05 00:00:00
9,1581,LED Headlamp - Rechargeable,Camping,Main,Sale,2024-03-06 00:00:00,-2,53.71,-107.42,SO-17563,Customer Sale,292,290,system,Transaction processed for Main location,system,2024-03-06 00:00:00
10,1563,CompactCook Camping Stove,Camping,Backup,Sale,2024-03-04 00:00:00,-38,64.71,-2458.98,SO-11590,Customer Sale,229,191,warehouse2,Transaction processed for Backup location,system,2024-03-04 00:00:00
11,2051,Ice Cream Bowl,Kitchen,Regional,Receipt,2024-03-03 00:00:00,145,18.49,2680.98,PO-6027,Purchase Order Receipt,1737,1882,system,Transaction processed for Regional location,system,2024-03-03 00:00:00
12,1563,CompactCook Camping Stove,Camping,Backup,Sale,2024-03-05 00:00:00,-12,64.71,-776.52,SO-75298,Customer Sale,271,259,warehouse1,Transaction processed for Backup location,system,2024-03-05 00:00:00
13,2051,Ice Cream Bowl,Kitchen,Regional,Transfer,2024-03-03 00:00:00,-49,18.71,-916.79,TRF-3549,Warehouse Transfer,1608,1559,warehouse2,Transaction processed for Regional location,system,2024-03-03 00:00:00
14,3102,Winter Hiking Boots - Waterproof,Ski,Main,Adjustment,2024-03-03 00:00:00,16,192.05,3072.8,ADJ-14,System Correction,94,110,warehouse2,Transaction processed for Main location,system,2024-03-03 00:00:00
15,1552,TrekMaster Camping Chair,Camping,Main,Sale,2024-03-03 00:00:00,-32,50.15,-1604.8,SO-84204,Customer Sale,116,84,warehouse2,Transaction processed for Main location,system,2024-03-03 00:00:00
16,2091,Spatula,Kitchen,Main,Adjustment,2024-03-01 00:00:00,11,8.96,98.56,ADJ-16,System Correction,1053,1064,warehouse1,Transaction processed for Main location,system,2024-03-01 00:00:00
17,3082,Edge Tuning Tool Set,Ski,Main,Sale,2024-03-07 00:00:00,-2,85.88,-171.76,SO-89636,Customer Sale,89,87,warehouse1,Transaction processed for Main location,system,2024-03-07 00:00:00
18,1563,CompactCook Camping Stove,Camping,Backup,Sale,2024-03-07 00:00:00,-3,64.71,-194.13,SO-18052,Customer Sale,146,143,system,Transaction processed for Backup location,system,2024-03-07 00:00:00
19,1523,TrailLite Daypack,Camping,Main,Receipt,2024-03-07 00:00:00,181,64.43,11661.12,PO-1636,Purchase Order Receipt,1032,1213,system,Transaction processed for Main location,system,2024-03-07 00:00:00
20,2071,Baking Pan,Kitchen,Main,Sale,2024-03-02 00:00:00,-1,17.79,-17.79,SO-67827,Customer Sale,2392,2391,warehouse1,Transaction processed for Main location,system,2024-03-02 00:00:00
21,1543,TrekStar Hiking Sandals,Camping,Main,Transfer,2024-03-04 00:00:00,-48,66.38,-3186.24,TRF-5288,Warehouse Transfer,172,124,warehouse2,Transaction processed for Main location,system,2024-03-04 00:00:00
22,1563,CompactCook Camping Stove,Camping,Backup,Sale,2024-03-03 00:00:00,-24,64.71,-1553.04,SO-27943,Customer Sale,300,276,warehouse2,Transaction processed for Backup location,system,2024-03-03 00:00:00
23,2022,Fork Set,Kitchen,Backup,Receipt,2024-03-01 00:00:00,179,31.89,5708.03,PO-5397,Purchase Order Receipt,2117,2296,system,Transaction processed for Backup location,system,2024-03-01 00:00:00
24,3041,Carbon Fiber Racing Poles - 120cm,Ski,Backup,Sale,2024-03-05 00:00:00,-26,108.62,-2824.12,SO-98474,Customer Sale,71,45,warehouse1,Transaction processed for Backup location,system,2024-03-05 00:00:00
25,2011,Coffee Maker,Kitchen,Backup,Receipt,2024-03-04 00:00:00,106,123.08,13046.94,PO-1495,Purchase Order Receipt,2167,2273,warehouse1,Transaction processed for Backup location,system,2024-03-04 00:00:00
26,2112,4-Slice Toaster,Kitchen,Main,Transfer,2024-03-02 00:00:00,-12,66.23,-794.76,TRF-1492,Warehouse Transfer,628,616,warehouse2,Transaction processed for Main location,system,2024-03-02 00:00:00
27,3081,All-Temp Ski Wax Kit,Ski,Backup,Adjustment,2024-03-06 00:00:00,13,50.85,661.05,ADJ-27,Physical Count,244,257,warehouse1,Transaction processed for Backup location,system,2024-03-06 00:00:00
28,3104,Ski Tuning Bench - Portable,Ski,Backup,Sale,2024-03-07 00:00:00,-18,119.94,-2158.92,SO-28039,Customer Sale,81,63,warehouse2,Transaction processed for Backup location,system,2024-03-07 00:00:00
29,2081,Food Storage Set,Kitchen,Regional,Adjustment,2024-03-05 00:00:00,-5,24.68,-123.4,ADJ-29,Cycle Count,1450,1445,warehouse1,Transaction processed for Regional location,system,2024-03-05 00:00:00
30,3082,Edge Tuning Tool Set,Ski,Main,Receipt,2024-03-06 00:00:00,131,83.56,10945.91,PO-5195,Purchase Order Receipt,31,162,warehouse1,Transaction processed for Main location,system,2024-03-06 00:00:00
31,1541,TrekReady Hiking Boots,Camping,Main,Sale,2024-03-01 00:00:00,-34,136.1,-4627.4,SO-53322,Customer Sale,593,559,warehouse1,Transaction processed for Main location,system,2024-03-01 00:00:00
32,1553,Adventure Dining Table,Camping,Main,Sale,2024-03-07 00:00:00,-7,98.41,-688.87,SO-20939,Customer Sale,282,275,system,Transaction processed for Main location,system,2024-03-07 00:00:00
33,3104,Ski Tuning Bench - Portable,Ski,Backup,Receipt,2024-03-01 00:00:00,184,116.37,21412.3,PO-1242,Purchase Order Receipt,16,200,system,Transaction processed for Backup location,system,2024-03-01 00:00:00
34,3102,Winter Hiking Boots - Waterproof,Ski,Main,Sale,2024-03-05 00:00:00,-9,192.05,-1728.45,SO-69339,Customer Sale,93,84,warehouse2,Transaction processed for Main location,system,2024-03-05 00:00:00
35,3031,Pro Flex Racing Ski Boots,Ski,Main,Sale,2024-03-07 00:00:00,-6,419.21,-2515.26,SO-68340,Customer Sale,171,165,system,Transaction processed for Main location,system,2024-03-07 00:00:00
36,2051,Ice Cream Bowl,Kitchen,Backup,Sale,2024-03-07 00:00:00,-21,18.71,-392.91,SO-45475,Customer Sale,834,813,warehouse2,Transaction processed for Backup location,system,2024-03-07 00:00:00
37,3062,Anti-Fog Ski Goggles,Ski,Main,Sale,2024-03-07 00:00:00,-3,90.57,-271.71,SO-36091,Customer Sale,13,10,warehouse1,Transaction processed for Main location,system,2024-03-07 00:00:00
38,2051,Ice Cream Bowl,Kitchen,Regional,Receipt,2024-03-04 00:00:00,136,18.51,2517.85,PO-7019,Purchase Order Receipt,1750,1886,warehouse2,Transaction processed for Regional location,system,2024-03-04 00:00:00
39,3102,Winter Hiking Boots - Waterproof,Ski,Main,Receipt,2024-03-05 00:00:00,58,197.15,11434.9,PO-9356,Purchase Order Receipt,126,184,system,Transaction processed for Main location,system,2024-03-05 00:00:00
40,2021,Chef Knife,Kitchen,Main,Transfer,2024-03-05 00:00:00,-29,70.6,-2047.4,TRF-5105,Warehouse Transfer,164,135,warehouse1,Transaction processed for Main location,system,2024-03-05 00:00:00
41,2081,Food Storage Set,Kitchen,Regional,Sale,2024-03-07 00:00:00,-30,24.68,-740.4,SO-90295,Customer Sale,1499,1469,warehouse1,Transaction processed for Regional location,system,2024-03-07 00:00:00
42,2061,Mixing Bowl,Kitchen,Main,Receipt,2024-03-03 00:00:00,76,29.5,2242.38,PO-6854,Purchase Order Receipt,90,166,warehouse1,Transaction processed for Main location,system,2024-03-03 00:00:00
43,1521,Adventurer Pro Backpack,Camping,Main,Return,2024-03-01 00:00:00,2,105.87,211.74,RET-73007,Customer Return,142,144,system,Transaction processed for Main location,system,2024-03-01 00:00:00
44,1512,SkyView 2-Person Tent,Camping,Main,Transfer,2024-03-07 00:00:00,-26,218.84,-5689.84,TRF-1254,Warehouse Transfer,459,433,system,Transaction processed for Main location,system,2024-03-07 00:00:00
45,3104,Ski Tuning Bench - Portable,Ski,Backup,Adjustment,2024-03-01 00:00:00,-18,119.94,-2158.92,ADJ-45,Physical Count,19,1,warehouse1,Transaction processed for Backup location,system,2024-03-01 00:00:00
46,3103,Snowboard Bindings - Pro,Ski,Backup,Sale,2024-03-01 00:00:00,-5,207.51,-1037.55,SO-51211,Customer Sale,71,66,system,Transaction processed for Backup location,system,2024-03-01 00:00:00
47,3092,All-Mountain Snowboard - 158cm,Ski,Main,Sale,2024-03-03 00:00:00,-31,591.02,-18321.62,SO-64678,Customer Sale,185,154,system,Transaction processed for Main location,system,2024-03-03 00:00:00
48,2091,Spatula,Kitchen,Main,Return,2024-03-02 00:00:00,5,7.17,35.84,RET-87674,Customer Return,1034,1039,warehouse2,Transaction processed for Main location,system,2024-03-02 00:00:00
49,3032,Comfort Fit Recreational Boots,Ski,Backup,Return,2024-03-03 00:00:00,4,232.23,928.93,RET-43709,Customer Return,96,100,system,Transaction processed for Backup location,system,2024-03-03 00:00:00
50,3082,Edge Tuning Tool Set,Ski,Backup,Transfer,2024-03-03 00:00:00,-10,85.88,-858.8,TRF-5428,Warehouse Transfer,14,4,system,Transaction processed for Backup location,system,2024-03-03 00:00:00
51,2111,High-Speed Blender,Kitchen,Main,Receipt,2024-03-06 00:00:00,101,139.61,14100.84,PO-5978,Purchase Order Receipt,187,288,system,Transaction processed for Main location,system,2024-03-06 00:00:00
52,2011,Coffee Maker,Kitchen,Backup,Sale,2024-03-05 00:00:00,-23,128.74,-2961.02,SO-94437,Customer Sale,2122,2099,warehouse2,Transaction processed for Backup location,system,2024-03-05 00:00:00
53,1562,PowerBurner Camping Stove,Camping,Main,Transfer,2024-03-03 00:00:00,-13,139.52,-1813.76,TRF-7744,Warehouse Transfer,400,387,warehouse2,Transaction processed for Main location,system,2024-03-03 00:00:00
54,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,Receipt,2024-03-03 00:00:00,119,334.51,39806.93,PO-7503,Purchase Order Receipt,80,199,warehouse1,Transaction processed for Backup location,system,2024-03-03 00:00:00
55,3104,Ski Tuning Bench - Portable,Ski,Backup,Receipt,2024-03-06 00:00:00,45,118.41,5328.37,PO-4341,Purchase Order Receipt,24,69,warehouse2,Transaction processed for Backup location,system,2024-03-06 00:00:00
56,2101,Measuring Cup Set,Kitchen,Main,Sale,2024-03-03 00:00:00,-5,12.73,-63.65,SO-51256,Customer Sale,462,457,warehouse2,Transaction processed for Main location,system,2024-03-03 00:00:00
57,3031,Pro Flex Racing Ski Boots,Ski,Main,Receipt,2024-03-02 00:00:00,186,435.41,80986.85,PO-1554,Purchase Order Receipt,97,283,warehouse1,Transaction processed for Main location,system,2024-03-02 00:00:00
58,2012,Espresso Machine,Kitchen,Main,Sale,2024-03-05 00:00:00,-27,304.47,-8220.69,SO-14064,Customer Sale,2175,2148,warehouse2,Transaction processed for Main location,system,2024-03-05 00:00:00
59,1542,TrailWalker Hiking Shoes,Camping,Backup,Adjustment,2024-03-07 00:00:00,6,83.85,503.1,ADJ-59,Physical Count,330,336,warehouse1,Transaction processed for Backup location,system,2024-03-07 00:00:00
60,3061,Professional Ski Helmet,Ski,Backup,Sale,2024-03-01 00:00:00,-41,155.45,-6373.45,SO-99401,Customer Sale,5,-36,warehouse1,Transaction processed for Backup location,system,2024-03-01 00:00:00
61,2022,Fork Set,Kitchen,Backup,Sale,2024-03-05 00:00:00,-2,32.13,-64.26,SO-98756,Customer Sale,2140,2138,system,Transaction processed for Backup location,system,2024-03-05 00:00:00
