EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,Economic,Raw Material Shortage - 1,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-16,2026-01-21,Global,Manufacturing,13,5.0,Orange,Supply Chain Monitor,system,2026-01-16 12:55:10
2,Economic,Raw Material Shortage - 2,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-28,2026-03-28,Global,Manufacturing,21,28.0,Red,Supply Chain Monitor,system,2026-02-28 12:55:10
3,Weather,Winter Storm Alpha - 3,Major winter storm affecting transportation networks,High,Resolved,2026-01-28,2026-02-26,Northwestern USA,Logistics,20,29.0,Red,Supply Chain Monitor,system,2026-01-28 12:55:10
4,Supplier,Factory Maintenance - 4,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-23,2026-02-12,Regional,Manufacturing,17,20.0,Orange,Supply Chain Monitor,system,2026-01-23 12:55:10
5,Weather,Winter Storm Alpha - 5,Major winter storm affecting transportation networks,High,Resolved,2026-01-08,2026-02-06,Northwestern USA,Logistics,6,29.0,Yellow,Supply Chain Monitor,system,2026-01-08 12:55:10
6,Economic,Raw Material Shortage - 6,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-30,2026-02-17,Global,Manufacturing,18,18.0,Orange,Supply Chain Monitor,system,2026-01-30 12:55:10
7,Weather,Winter Storm Alpha - 7,Major winter storm affecting transportation networks,High,Resolved,2026-01-26,2026-02-03,Northwestern USA,Logistics,6,8.0,Yellow,Supply Chain Monitor,system,2026-01-26 12:55:10
8,Weather,Winter Storm Alpha - 8,Major winter storm affecting transportation networks,High,Resolved,2026-01-13,2026-01-17,Northwestern USA,Logistics,5,4.0,Yellow,Supply Chain Monitor,system,2026-01-13 12:55:10
9,Weather,Winter Storm Alpha - 9,Major winter storm affecting transportation networks,High,Resolved,2026-02-06,2026-03-04,Northwestern USA,Logistics,17,26.0,Red,Supply Chain Monitor,system,2026-02-06 12:55:10
10,Supplier,Factory Maintenance - 10,Scheduled maintenance at key supplier facility,Medium,Monitoring,2026-02-15,,Regional,Manufacturing,20,,Yellow,Supply Chain Monitor,system,2026-02-15 12:55:10
11,Economic,Raw Material Shortage - 11,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-02,2026-02-21,Global,Manufacturing,14,19.0,Red,Supply Chain Monitor,system,2026-02-02 12:55:10
12,Weather,Winter Storm Alpha - 12,Major winter storm affecting transportation networks,High,Resolved,2026-02-05,2026-03-03,Northwestern USA,Logistics,12,26.0,Red,Supply Chain Monitor,system,2026-02-05 12:55:10
13,Weather,Winter Storm Alpha - 13,Major winter storm affecting transportation networks,High,Resolved,2026-01-29,2026-02-05,Northwestern USA,Logistics,4,7.0,Red,Supply Chain Monitor,system,2026-01-29 12:55:10
14,Supplier,Factory Maintenance - 14,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-02-04,2026-02-16,Regional,Manufacturing,4,12.0,Yellow,Supply Chain Monitor,system,2026-02-04 12:55:10
15,Economic,Raw Material Shortage - 15,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-11,2026-03-07,Global,Manufacturing,13,24.0,Orange,Supply Chain Monitor,system,2026-02-11 12:55:10
