TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,1531,Summit Breeze Jacket,Camping,Main,Sale,2026-02-22 00:00:00,-9,108.38,-975.42,SO-28636,Customer Sale,1587,1578,warehouse1,Transaction processed for Main location,system,2026-02-22 00:00:00
2,3082,Edge Tuning Tool Set,Ski,Main,Sale,2025-01-11 00:00:00,-37,78.68,-2911.16,SO-71652,Customer Sale,101,64,warehouse2,Transaction processed for Main location,system,2025-01-11 00:00:00
3,3082,Edge Tuning Tool Set,Ski,Main,Damage,2026-04-30 00:00:00,-9,78.68,-708.12,DMG-3,Shipping Damage,13,4,warehouse1,Transaction processed for Main location,system,2026-04-30 00:00:00
4,1562,PowerBurner Camping Stove,Camping,Main,Transfer,2025-10-25 00:00:00,-32,130.11,-4163.52,TRF-3645,Warehouse Transfer,79,47,warehouse1,Transaction processed for Main location,system,2025-10-25 00:00:00
5,2111,High-Speed Blender,Kitchen,Backup,Sale,2026-01-21 00:00:00,-42,125.46,-5269.32,SO-17052,Customer Sale,73,31,system,Transaction processed for Backup location,system,2026-01-21 00:00:00
6,1581,LED Headlamp - Rechargeable,Camping,Backup,Return,2025-03-30 00:00:00,3,41.28,123.84,RET-83585,Customer Return,39,42,warehouse1,Transaction processed for Backup location,system,2025-03-30 00:00:00
7,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Sale,2025-12-30 00:00:00,-22,126.56,-2784.32,SO-78975,Customer Sale,89,67,warehouse2,Transaction processed for Main location,system,2025-12-30 00:00:00
8,2041,Serving Platter,Kitchen,Backup,Sale,2025-09-05 00:00:00,-13,44.11,-573.43,SO-11085,Customer Sale,324,311,warehouse1,Transaction processed for Backup location,system,2025-09-05 00:00:00
9,2091,Spatula,Kitchen,Regional,Adjustment,2026-04-17 00:00:00,13,8.73,113.49,ADJ-9,Cycle Count,53,66,warehouse1,Transaction processed for Regional location,system,2026-04-17 00:00:00
10,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Receipt,2025-07-07 00:00:00,26,70.3,1827.9,PO-7814,Purchase Order Receipt,59,85,warehouse1,Transaction processed for Backup location,system,2025-07-07 00:00:00
11,1572,MountainDream Sleeping Bag,Camping,Main,Adjustment,2025-06-15 00:00:00,-7,230.09,-1610.63,ADJ-11,Physical Count,543,536,warehouse2,Transaction processed for Main location,system,2025-06-15 00:00:00
12,1552,TrekMaster Camping Chair,Camping,Main,Adjustment,2025-05-02 00:00:00,-12,52.56,-630.72,ADJ-12,Physical Count,108,96,system,Transaction processed for Main location,system,2025-05-02 00:00:00
13,1543,TrekStar Hiking Sandals,Camping,Backup,Sale,2025-12-30 00:00:00,-20,55.63,-1112.6,SO-90382,Customer Sale,74,54,warehouse1,Transaction processed for Backup location,system,2025-12-30 00:00:00
14,1512,SkyView 2-Person Tent,Camping,Backup,Receipt,2025-09-11 00:00:00,189,240.66,45485.45,PO-3594,Purchase Order Receipt,116,305,system,Transaction processed for Backup location,system,2025-09-11 00:00:00
15,3072,Hand Warmers - 10 Pack,Ski,Main,Sale,2026-04-25 00:00:00,-25,9.69,-242.25,SO-42258,Customer Sale,23,-2,warehouse1,Transaction processed for Main location,system,2026-04-25 00:00:00
16,1523,TrailLite Daypack,Camping,Backup,Adjustment,2025-04-14 00:00:00,5,58.21,291.05,ADJ-16,Cycle Count,291,296,warehouse2,Transaction processed for Backup location,system,2025-04-14 00:00:00
17,3053,Waterproof Ski Pants,Ski,Backup,Sale,2026-01-16 00:00:00,-31,191.5,-5936.5,SO-22034,Customer Sale,0,-31,warehouse2,Transaction processed for Backup location,system,2026-01-16 00:00:00
18,1581,LED Headlamp - Rechargeable,Camping,Backup,Sale,2025-12-24 00:00:00,-10,51.6,-516.0,SO-14103,Customer Sale,123,113,warehouse1,Transaction processed for Backup location,system,2025-12-24 00:00:00
19,3101,Winter Boots - Insulated,Ski,Main,Sale,2025-09-23 00:00:00,-6,110.91,-665.46,SO-24488,Customer Sale,84,78,warehouse1,Transaction processed for Main location,system,2025-09-23 00:00:00
20,2121,Bamboo Cutting Board Set,Kitchen,Main,Sale,2025-11-20 00:00:00,-3,28.33,-84.99,SO-86149,Customer Sale,272,269,warehouse2,Transaction processed for Main location,system,2025-11-20 00:00:00
21,2101,Measuring Cup Set,Kitchen,Main,Receipt,2025-01-14 00:00:00,122,14.2,1732.9,PO-2384,Purchase Order Receipt,212,334,warehouse1,Transaction processed for Main location,system,2025-01-14 00:00:00
22,2091,Spatula,Kitchen,Regional,Adjustment,2025-02-13 00:00:00,2,8.73,17.46,ADJ-22,Physical Count,177,179,warehouse1,Transaction processed for Regional location,system,2025-02-13 00:00:00
23,2111,High-Speed Blender,Kitchen,Main,Transfer,2025-08-22 00:00:00,-11,125.46,-1380.06,TRF-6901,Warehouse Transfer,254,243,warehouse2,Transaction processed for Main location,system,2025-08-22 00:00:00
