InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Main,101,18,83,192,279,875,2026-03-07 13:48:17,132.34,LowStock,system,2025-11-17 13:48:17
2,1521,Adventurer Pro Backpack,Camping,Backup,40,0,40,192,279,875,2026-03-07 13:48:17,132.34,Active,system,2025-11-17 13:48:17
3,1531,Summit Breeze Jacket,Camping,Main,384,52,332,178,287,941,2026-03-08 04:48:17,104.72,Active,system,2026-01-20 13:48:17
4,1541,TrekReady Hiking Boots,Camping,Main,597,176,421,104,130,708,2026-03-07 17:48:17,136.1,Active,system,2025-12-06 13:48:17
5,1541,TrekReady Hiking Boots,Camping,Backup,293,0,293,104,130,708,2026-03-07 17:48:17,136.1,Active,system,2025-12-06 13:48:17
6,1551,BaseCamp Folding Table,Camping,Main,57,13,44,70,95,265,2026-03-08 02:48:17,69.77,LowStock,system,2025-12-29 13:48:17
7,1561,EcoFire Camping Stove,Camping,Main,66,18,48,44,58,251,2026-03-08 09:48:17,82.29,Active,system,2026-01-09 13:48:17
8,1571,CozyNights Sleeping Bag,Camping,Main,356,87,269,71,104,480,2026-03-09 12:48:17,111.07,Active,system,2026-02-03 13:48:17
9,1511,Alpine Explorer Tent,Camping,Backup,1172,315,857,167,216,1070,2026-03-07 19:48:17,287.42,Excess,system,2025-12-26 13:48:17
10,1522,SummitClimber Backpack,Camping,Main,1,0,1,135,237,680,2026-03-08 13:48:17,164.33,LowStock,system,2026-02-05 13:48:17
11,1532,TrailBlaze Hiking Pants,Camping,Main,505,79,426,88,168,557,2026-03-07 23:48:17,60.4,Active,system,2025-12-31 13:48:17
12,1542,TrailWalker Hiking Shoes,Camping,Backup,371,55,316,67,108,528,2026-03-09 09:48:17,83.85,Active,system,2025-11-26 13:48:17
13,1552,TrekMaster Camping Chair,Camping,Main,61,11,50,81,103,308,2026-03-09 03:48:17,50.15,LowStock,system,2025-09-18 13:48:17
14,1562,PowerBurner Camping Stove,Camping,Main,409,107,302,40,64,369,2026-03-08 03:48:17,139.52,Excess,system,2025-10-10 13:48:17
15,1572,MountainDream Sleeping Bag,Camping,Main,563,88,475,80,107,495,2026-03-09 11:48:17,177.2,Excess,system,2026-02-07 13:48:17
16,1512,SkyView 2-Person Tent,Camping,Main,475,99,376,186,291,814,2026-03-09 05:48:17,218.84,Active,system,2025-12-16 13:48:17
17,1512,SkyView 2-Person Tent,Camping,Backup,147,0,147,186,291,814,2026-03-09 05:48:17,218.84,Active,system,2025-12-16 13:48:17
18,1523,TrailLite Daypack,Camping,Main,1023,229,794,126,178,1016,2026-03-08 16:48:17,63.86,Excess,system,2025-12-12 13:48:17
