EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,Economic,Raw Material Shortage - 1,Global shortage of key manufacturing materials,Critical,Monitoring,2026-02-11,,Global,Manufacturing,7,,Red,Supply Chain Monitor,system,2026-02-11 13:31:46
2,Supplier,Factory Maintenance - 2,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-12-10,2025-12-29,Regional,Manufacturing,16,19.0,Yellow,Supply Chain Monitor,system,2025-12-10 13:31:46
3,Economic,Raw Material Shortage - 3,Global shortage of key manufacturing materials,Critical,Active,2025-12-16,,Global,Manufacturing,19,,Orange,Supply Chain Monitor,system,2025-12-16 13:31:46
4,Economic,Raw Material Shortage - 4,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-01,2026-01-04,Global,Manufacturing,16,3.0,Yellow,Supply Chain Monitor,system,2026-01-01 13:31:46
5,Weather,Winter Storm Alpha - 5,Major winter storm affecting transportation networks,High,Active,2026-01-02,,Northwestern USA,Logistics,19,,Yellow,Supply Chain Monitor,system,2026-01-02 13:31:46
6,Supplier,Factory Maintenance - 6,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-02-11,2026-02-27,Regional,Manufacturing,10,16.0,Orange,Supply Chain Monitor,system,2026-02-11 13:31:46
7,Supplier,Factory Maintenance - 7,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-12-16,2026-01-07,Regional,Manufacturing,8,22.0,Orange,Supply Chain Monitor,system,2025-12-16 13:31:46
8,Supplier,Factory Maintenance - 8,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-03-01,2026-03-06,Regional,Manufacturing,18,5.0,Orange,Supply Chain Monitor,system,2026-03-01 13:31:46
9,Supplier,Factory Maintenance - 9,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-19,2026-01-29,Regional,Manufacturing,6,10.0,Orange,Supply Chain Monitor,system,2026-01-19 13:31:46
10,Economic,Raw Material Shortage - 10,Global shortage of key manufacturing materials,Critical,Monitoring,2026-01-21,,Global,Manufacturing,12,,Red,Supply Chain Monitor,system,2026-01-21 13:31:46
11,Supplier,Factory Maintenance - 11,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-02-26,2026-03-07,Regional,Manufacturing,13,9.0,Red,Supply Chain Monitor,system,2026-02-26 13:31:46
12,Economic,Raw Material Shortage - 12,Global shortage of key manufacturing materials,Critical,Active,2026-01-06,,Global,Manufacturing,7,,Yellow,Supply Chain Monitor,system,2026-01-06 13:31:46
13,Economic,Raw Material Shortage - 13,Global shortage of key manufacturing materials,Critical,Resolved,2025-12-11,2026-01-08,Global,Manufacturing,10,28.0,Orange,Supply Chain Monitor,system,2025-12-11 13:31:46
14,Supplier,Factory Maintenance - 14,Scheduled maintenance at key supplier facility,Medium,Active,2025-12-28,,Regional,Manufacturing,18,,Yellow,Supply Chain Monitor,system,2025-12-28 13:31:46
15,Economic,Raw Material Shortage - 15,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-28,2026-02-03,Global,Manufacturing,21,6.0,Orange,Supply Chain Monitor,system,2026-01-28 13:31:46
