ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Camping Equipment,CON-1521,130.88,10,10000.0,16,Active,system,2026-01-12 14:29:58
2,1531,Summit Breeze Jacket,Camping,1,Contoso Camping Equipment,CON-1531,101.2,1,,17,Active,system,2025-12-25 14:29:58
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Camping Equipment,CON-1541,118.06,50,1000.0,15,Active,system,2025-12-30 14:29:58
4,1551,BaseCamp Folding Table,Camping,1,Contoso Camping Equipment,CON-1551,55.42,25,10000.0,11,Active,system,2025-12-02 14:29:58
5,1561,EcoFire Camping Stove,Camping,1,Contoso Camping Equipment,CON-1561,90.21,1,5000.0,15,Active,system,2025-12-08 14:29:58
6,1571,CozyNights Sleeping Bag,Camping,1,Contoso Camping Equipment,CON-1571,109.66,50,10000.0,13,Active,system,2025-10-09 14:29:58
7,1511,Alpine Explorer Tent,Camping,1,Contoso Camping Equipment,CON-1511,318.86,10,10000.0,12,Active,system,2026-01-22 14:29:58
8,1511,Alpine Explorer Tent,Camping,4,Worldwide Importers,WOR-1511,382.32,10,5000.0,27,Active,system,2025-10-30 14:29:58
9,1522,SummitClimber Backpack,Camping,1,Contoso Camping Equipment,CON-1522,159.59,5,1000.0,16,Active,system,2025-12-29 14:29:58
10,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Camping Equipment,CON-1532,68.3,25,5000.0,12,Active,system,2025-12-12 14:29:58
11,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Camping Equipment,CON-1542,88.36,25,5000.0,15,Active,system,2025-10-07 14:29:58
12,1552,TrekMaster Camping Chair,Camping,1,Contoso Camping Equipment,CON-1552,48.98,10,1000.0,17,Active,system,2025-09-12 14:29:58
13,1562,PowerBurner Camping Stove,Camping,1,Contoso Camping Equipment,CON-1562,118.92,1,1000.0,13,Active,system,2025-10-01 14:29:58
14,1572,MountainDream Sleeping Bag,Camping,1,Contoso Camping Equipment,CON-1572,189.58,25,10000.0,17,Active,system,2025-11-12 14:29:58
15,1512,SkyView 2-Person Tent,Camping,1,Contoso Camping Equipment,CON-1512,250.56,1,1000.0,15,Active,system,2025-11-03 14:29:58
