ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Camping Equipment,CON-1521,121.22,50,5000.0,16,Active,system,2026-02-01 10:47:10
2,1531,Summit Breeze Jacket,Camping,1,Contoso Camping Equipment,CON-1531,95.41,50,,13,Active,system,2026-02-01 10:47:10
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Camping Equipment,CON-1541,125.49,50,,12,Active,system,2025-10-29 10:47:10
4,1551,BaseCamp Folding Table,Camping,1,Contoso Camping Equipment,CON-1551,57.18,50,1000.0,16,Active,system,2025-10-08 10:47:10
5,1551,BaseCamp Folding Table,Camping,4,Worldwide Importers,WOR-1551,61.44,1,5000.0,33,Active,system,2025-10-15 10:47:10
6,1561,EcoFire Camping Stove,Camping,1,Contoso Camping Equipment,CON-1561,97.89,10,1000.0,15,Active,system,2025-12-08 10:47:10
7,1571,CozyNights Sleeping Bag,Camping,1,Contoso Camping Equipment,CON-1571,102.91,10,,14,Active,system,2026-01-26 10:47:10
8,1511,Alpine Explorer Tent,Camping,1,Contoso Camping Equipment,CON-1511,308.51,1,1000.0,16,Active,system,2026-01-04 10:47:10
9,1522,SummitClimber Backpack,Camping,1,Contoso Camping Equipment,CON-1522,149.03,5,1000.0,14,Active,system,2025-10-10 10:47:10
10,1522,SummitClimber Backpack,Camping,4,Worldwide Importers,WOR-1522,179.67,25,,27,Active,system,2025-12-06 10:47:10
11,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Camping Equipment,CON-1532,71.87,1,5000.0,11,Active,system,2026-01-01 10:47:10
12,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Camping Equipment,CON-1542,93.27,1,5000.0,13,Active,system,2026-01-28 10:47:10
13,1552,TrekMaster Camping Chair,Camping,1,Contoso Camping Equipment,CON-1552,49.11,5,10000.0,17,Active,system,2025-11-05 10:47:10
14,1562,PowerBurner Camping Stove,Camping,1,Contoso Camping Equipment,CON-1562,148.29,25,1000.0,11,Active,system,2025-09-17 10:47:10
15,1572,MountainDream Sleeping Bag,Camping,1,Contoso Camping Equipment,CON-1572,229.19,25,1000.0,11,Active,system,2026-01-29 10:47:10
16,1512,SkyView 2-Person Tent,Camping,1,Contoso Camping Equipment,CON-1512,208.71,5,10000.0,16,Active,system,2026-01-06 10:47:10
17,1523,TrailLite Daypack,Camping,1,Contoso Camping Equipment,CON-1523,63.92,5,,17,Active,system,2026-01-04 10:47:10
18,1533,RainGuard Hiking Jacket,Camping,1,Contoso Camping Equipment,CON-1533,134.06,1,1000.0,11,Active,system,2025-10-31 10:47:10
19,1543,TrekStar Hiking Sandals,Camping,1,Contoso Camping Equipment,CON-1543,67.32,1,,17,Active,system,2025-11-28 10:47:10
20,1553,Adventure Dining Table,Camping,1,Contoso Camping Equipment,CON-1553,112.98,1,,15,Active,system,2026-01-05 10:47:10
21,1563,CompactCook Camping Stove,Camping,1,Contoso Camping Equipment,CON-1563,58.29,25,,15,Active,system,2026-01-31 10:47:10
22,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Camping Equipment,CON-1581,50.53,5,10000.0,13,Active,system,2025-10-20 10:47:10
23,2011,Coffee Maker,Kitchen,2,Contoso Kitchen,CON-2011,115.42,1,,10,Active,system,2025-11-17 10:47:10
24,2012,Espresso Machine,Kitchen,2,Contoso Kitchen,CON-2012,314.5,10,10000.0,13,Active,system,2025-11-16 10:47:10
25,2021,Chef Knife,Kitchen,2,Contoso Kitchen,CON-2021,60.49,1,,13,Active,system,2025-11-18 10:47:10
26,2022,Fork Set,Kitchen,2,Contoso Kitchen,CON-2022,33.11,50,,9,Active,system,2025-12-13 10:47:10
27,2031,Coffee Mug,Kitchen,2,Contoso Kitchen,CON-2031,26.0,25,1000.0,12,Active,system,2026-02-07 10:47:10
28,2041,Serving Platter,Kitchen,2,Contoso Kitchen,CON-2041,53.79,1,5000.0,9,Active,system,2025-11-23 10:47:10
29,2051,Ice Cream Bowl,Kitchen,2,Contoso Kitchen,CON-2051,19.14,5,,13,Active,system,2025-10-29 10:47:10
30,2061,Mixing Bowl,Kitchen,2,Contoso Kitchen,CON-2061,29.76,1,,11,Active,system,2025-09-18 10:47:10
31,2071,Baking Pan,Kitchen,2,Contoso Kitchen,CON-2071,20.47,25,,9,Active,system,2025-11-23 10:47:10
32,2081,Food Storage Set,Kitchen,2,Contoso Kitchen,CON-2081,21.17,50,10000.0,9,Active,system,2025-11-09 10:47:10
33,2091,Spatula,Kitchen,2,Contoso Kitchen,CON-2091,7.98,50,,13,Active,system,2026-01-19 10:47:10
34,2101,Measuring Cup Set,Kitchen,2,Contoso Kitchen,CON-2101,13.46,10,1000.0,10,Active,system,2025-09-20 10:47:10
35,2111,High-Speed Blender,Kitchen,2,Contoso Kitchen,CON-2111,158.95,50,5000.0,8,Active,system,2025-10-19 10:47:10
36,2112,4-Slice Toaster,Kitchen,2,Contoso Kitchen,CON-2112,65.28,1,5000.0,9,Active,system,2025-10-13 10:47:10
37,2121,Bamboo Cutting Board Set,Kitchen,2,Contoso Kitchen,CON-2121,34.44,10,,9,Active,system,2025-09-24 10:47:10
38,3011,Alpine Pro Racing Skis - 170cm,Ski,3,Contoso Ski Equipment,CON-3011,918.98,5,1000.0,10,Active,system,2025-12-29 10:47:10
39,3012,Mountain Master All-Terrain Skis - 165cm,Ski,3,Contoso Ski Equipment,CON-3012,683.6,25,,10,Active,system,2025-10-03 10:47:10
40,3013,Beginner's Choice Alpine Skis - 160cm,Ski,3,Contoso Ski Equipment,CON-3013,305.74,5,1000.0,9,Active,system,2026-02-02 10:47:10
41,3021,Nordic Classic XC Skis - 185cm,Ski,3,Contoso Ski Equipment,CON-3021,263.5,5,1000.0,9,Active,system,2025-12-13 10:47:10
42,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Contoso Ski Equipment,CON-3022,340.83,50,,14,Active,system,2025-12-08 10:47:10
43,3031,Pro Flex Racing Ski Boots,Ski,3,Contoso Ski Equipment,CON-3031,426.0,5,1000.0,13,Active,system,2025-09-21 10:47:10
44,3032,Comfort Fit Recreational Boots,Ski,3,Contoso Ski Equipment,CON-3032,251.52,1,5000.0,10,Active,system,2026-01-02 10:47:10
45,3033,Women's Performance Ski Boots,Ski,3,Contoso Ski Equipment,CON-3033,382.91,10,5000.0,12,Active,system,2025-11-06 10:47:10
46,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Contoso Ski Equipment,CON-3041,114.89,5,10000.0,15,Active,system,2025-09-19 10:47:10
47,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Contoso Ski Equipment,CON-3042,63.0,50,5000.0,13,Active,system,2025-10-25 10:47:10
48,3042,Aluminum All-Mountain Poles - 115cm,Ski,5,Fabrikam,FAB-3042,84.35,25,2000.0,17,Active,system,2026-01-30 10:47:10
